,fold,p.adj
SIX1,2.21822249640422,6.06406118831895e-07
TTC18,-2.21435532646301,0.000219176473040603
CXCR1,-3.30203448548718,1.8246018704173e-06
EFCAB12,-2.8685587657202,6.97418405504491e-06
SEMA5A,-2.47222226259143,9.0342639599691e-08
MAGEA10,2.59984884328513,0.000607926173533174
SPI1,-2.5099981303459,7.19571800952447e-25
RASIP1,-2.39999592824733,8.62732459316066e-19
CADM3,-2.38345591820509,0.000363265594005558
CCL15-CCL14,-4.88905396632237,8.64705397437928e-13
CGREF1,2.89061718601695,1.11054825078594e-10
NKX2-5,3.1248183730651,5.89890301480448e-06
UCHL1,2.88719770824662,2.23266877107417e-06
TGFBR3,-2.6109744432682,3.19204288044385e-13
FAM46B,-2.26481528026992,6.70931488363934e-12
LRRC18,-3.59756644255847,1.07188641530962e-08
FETUB,3.40581475011555,0.00298580992351643
CCL17,-2.65280305544199,2.12952652520432e-09
IL36RN,4.67207393241292,0.000216216498028328
SLC51B,-4.91762578846856,2.86822748019026e-18
B3GNT7,-2.67142018983868,1.91186493550222e-16
DAPL1,4.65046652164389,0.000566924566740976
PRSS35,-2.42130905452522,5.98281391710113e-10
MS4A15,-6.47175420294546,6.12532855075377e-19
ADM2,2.20201462965623,2.36041573888973e-08
EXOC3L1,-2.05819805873592,2.44169427195398e-20
ESAM,-3.21339600966354,3.68961960333658e-38
KLF2,-3.42479319712881,2.74210480306208e-17
HBEGF,-2.19100371744708,7.15750734495399e-09
SGOL2,2.10421805661654,5.10125760636032e-15
DNAAF1,-2.77903164824808,0.00145446197094072
ECM2,-2.1000074537032,2.39853154460724e-15
SERPINA1,-3.4039996155533,6.28447693209834e-21
